"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"제임스 ",1,39,8,4,8,0.500,4,7,0.571,"-",1,0.000,"-","-","-","-",5,5,3,2,1,4,5,"-","-",24,"-",0.6,13.0,0.500,8.0,0.500,7.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,8.0,3.0,5.0,4.0,2.0
0,"민재 ",1,22,5,2,5,0.400,1,3,0.333,1,2,0.500,"-","-","-",1,2,3,"-",2,1,"-",1,"-","-",5,"-",0.0,6.0,0.500,5.0,0.500,4.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,5.0,0.0,3.0,0.0,2.0
0,"승호 ",1,40,19,9,24,0.375,8,15,0.533,1,9,0.111,"-","-","-",1,2,3,6,3,"-","-",2,"-","-",19,"-",3.0,14.0,0.396,24.0,0.396,12.3,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,19.0,6.0,3.0,0.0,3.0
0,"재성 ",1,1,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"정종  ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"제프 ",1,41,21,9,20,0.450,6,12,0.500,3,8,0.375,"-","-","-",2,6,8,7,8,"-","-",2,"-","-",15,"-",3.5,31.0,0.525,20.0,0.525,24.7,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,21.0,7.0,8.0,0.0,8.0
0,"택용 ",1,1,0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-",0.0,"-",0.0,"-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,0.0,0.0,0.0,0.0,0.0
0,"정성우 ",1,38,17,7,14,0.500,4,9,0.444,3,5,0.600,"-","-","-",1,5,6,8,6,"-","-",2,"-","-",24,"-",4.0,28.0,0.607,14.0,0.607,21.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,17.0,8.0,6.0,0.0,6.0
0,"상백 ",1,31,4,2,8,0.250,2,7,0.286,"-",1,0.000,"-","-","-","-","-",0,2,1,"-","-",1,"-","-",14,"-",2.0,0.0,0.250,8.0,0.250,0.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,2.0,0.0,0.0,1.0
0,"태훈 ",1,39,10,5,11,0.455,5,11,0.455,"-","-","-","-","-","-",4,2,6,3,2,1,"-",2,"-","-",19,"-",1.5,13.0,0.455,11.0,0.455,9.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,10.0,3.0,6.0,0.0,2.0
0,"세훈 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,84,38,90,0.422,30,64,0.469,8,26,0.308,"-","-","-",9,22,31,29,24,3,4,15,"-","-",24,"-",1.9,105.0,0.467,90.0,0.467,81.2,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,84.0,29.0,31.0,4.0,24.0
