series,team,name,pts,fgm,fga,pm2,pa2,pm3,pa3,mj_bonus,oreb,dreb,reb,ast,stl,dfl,blk,to,plus_minus,games,wins,totgames,efg,gamescore,tfga,tto,usg
1,DK,덕용,14,5,11,1,2,4,9,0,0,6,6,3,2,2,2,5,6,5,3,9,.63636363,10.6,136,30,.17349398
1,DK,동일,9,3,14,0,6,3,8,0,2,3,5,4,4,0,0,6,-7,5,2,9,.32142857,3.5,136,30,.21686748
1,DK,동현,20,9,17,7,9,2,8,0,3,5,8,3,2,1,0,2,6,4,3,9,.58823532,17.4,136,30,.25753012
1,DK,민주,23,6,26,1,4,5,22,6,0,2,2,3,1,0,0,4,-23,6,1,9,.44230768,6.9000001,136,30,.27108434
1,DK,상수,22,9,26,5,15,4,11,0,2,19,21,3,3,3,0,2,-20,7,1,9,.42307693,17.6,136,30,.21686748
1,DK,원유,10,5,14,5,14,0,0,0,6,1,7,2,2,0,0,2,-16,8,2,9,.35714287,8.1000004,136,30,.10843374
1,DK,종우,0,0,11,0,10,0,1,0,3,2,5,3,0,0,0,3,-21,4,0,9,0,-5.9000001,136,30,.18975903
1,DK,토마스리,12,6,17,6,12,0,5,0,4,11,15,6,5,1,0,6,0,6,3,9,.35294119,11.8,136,30,.20783132
1,JJ,민재,6,3,10,3,8,0,2,0,1,4,5,2,2,1,0,4,-10,5,2,9,.30000001,1.5,153,29,.13846155
1,JJ,세훈,6,3,10,3,10,0,0,0,2,10,12,3,2,0,1,4,14,6,4,9,.30000001,5.4000001,153,29,.11538462
1,JJ,승호,20,8,22,4,8,4,14,0,1,2,3,5,2,1,1,3,1,6,3,9,.45454547,12.3,153,29,.20604396
1,JJ,재성,27,13,28,12,18,1,10,0,0,5,5,10,5,5,0,3,10,6,4,9,.48214287,23.1,153,29,.25549451
1,JJ,정종,2,1,3,1,3,0,0,0,1,4,5,0,0,1,1,3,23,5,5,9,.33333334,-.1,153,29,.05934066
1,JJ,제임스,18,9,26,9,26,0,0,0,7,11,18,3,0,1,0,7,11,6,4,9,.34615386,6.6999998,153,29,.27197802
1,JJ,제프,16,8,22,8,20,0,2,0,4,4,8,4,7,2,2,4,10,6,4,9,.36363637,15,153,29,.21428572
1,JJ,택용,30,15,32,15,29,0,3,0,13,15,28,5,1,5,3,1,16,5,4,9,.46875,32.799999,153,29,.32637364
2,DK,덕용,18,6,13,0,1,6,12,0,0,10,10,4,0,1,0,6,15,4,3,8,.69230771,11.1,124,44,.22619048
2,DK,동길,15,7,14,6,12,1,2,0,1,4,5,1,2,1,0,4,24,5,4,8,.53571427,8.6000004,124,44,.17142858
2,DK,동현,23,10,20,7,12,3,8,0,5,13,18,6,7,1,0,4,33,5,4,8,.57499999,27.6,124,44,.22857143
2,DK,동희,25,10,24,5,8,5,16,0,2,6,8,7,4,1,0,1,29,4,4,8,.52083331,23.299999,124,44,.29761904
2,DK,민주,12,3,21,0,6,3,15,3,0,9,9,1,0,0,0,10,19,5,3,8,.2857143,-8.1000004,124,44,.29523811
2,DK,원유,8,4,11,4,11,0,0,0,5,5,10,3,2,0,0,5,8,4,2,8,.36363637,6,124,44,.19047619
