name,pts,fgm,fga,pm2,pa2,pm3,pa3,mj_bonus,oreb,dreb,reb,ast,stl,dfl,blk,to,plus_minus,games,wins,tfga,tto,totgames,fg_pct,fg2_pct,fg3_pct,win_pct,efg,gamescore,usg,pts_p6g,fgm_p6g,fga_p6g,pm2_p6g,pa2_p6g,pm3_p6g,pa3_p6g,mj_bonus_p6g,oreb_p6g,dreb_p6g,reb_p6g,ast_p6g,stl_p6g,dfl_p6g,blk_p6g,to_p6g,plus_minus_p6g,gamescore_p6g
길현,10,5,24,5,24,0,0,0,14,18,32,6,4,0,3,3,20,15,8,339,59,21,.20833333,.20833333,,53.333332,.20833333,17.700001,.094974875,4,2,9.6000004,2,9.6000004,0,0,0,5.5999999,7.1999998,12.8,2.4000001,1.6,0,1.2,1.2,8,7.0800004
덕용,72,25,79,3,13,22,66,0,7,60,67,34,6,4,3,44,-36,32,13,838,254,55,.31645569,.23076923,.33333334,40.625,.4556962,37.5,.19359547,13.5,4.6875,14.8125,.5625,2.4375,4.125,12.375,0,1.3125,11.25,12.5625,6.375,1.125,.75,.5625,8.25,-6.75,7.03125
동길,34,16,34,14,29,2,5,0,4,4,8,2,5,3,0,6,27,9,6,217,75,14,.47058824,.48275861,.40000001,66.666664,.5,21,.21308981,22.666666,10.666667,22.666666,9.333333,19.333334,1.3333334,3.3333333,0,2.6666667,2.6666667,5.3333335,1.3333334,3.3333333,2,0,4,18,14
동일,16,6,25,2,11,4,14,0,4,5,9,10,5,1,0,10,3,10,6,253,72,18,.23999999,.18181819,.2857143,60,.31999999,7.1999998,.19384615,9.6000004,3.5999999,15,1.2,6.5999999,2.4000001,8.3999996,0,2.4000001,3,5.4000001,6,3,.60000002,0,6,1.8,4.3199997
동현,104,45,88,31,57,14,31,0,18,29,47,17,12,6,3,18,29,21,14,559,172,38,.51136363,.54385966,.45161289,66.666664,.59090906,89.699997,.26239333,29.714285,12.857142,25.142857,8.8571424,16.285715,4,8.8571424,0,5.1428571,8.2857141,13.428572,4.8571429,3.4285715,1.7142857,.85714287,5.1428571,8.2857141,25.628571
동희,81,34,90,21,48,13,42,0,11,23,34,16,13,7,0,7,37,19,12,541,175,36,.37777779,.4375,.30952382,63.157894,.44999999,63.400002,.25668922,25.578947,10.736842,28.421053,6.6315789,15.157895,4.1052632,13.263158,0,3.4736843,7.2631578,10.736842,5.0526314,4.1052632,2.2105262,0,2.2105262,11.684211,20.021053
민재,29,13,49,10,35,3,14,0,9,10,19,3,15,3,0,11,-27,19,10,663,132,39,.26530612,.2857143,.21428572,52.63158,.29591838,15.3,.15491559,9.1578951,4.1052632,15.473684,3.1578948,11.052631,.94736844,4.4210525,0,2.8421052,3.1578948,6,.94736844,4.7368422,.94736844,0,3.4736843,-8.5263157,4.8315792
민주,123,33,146,7,29,26,117,31,2,18,20,13,4,1,0,39,-25,36,14,838,254,55,.2260274,.24137931,.22222222,38.888889,.42123288,14.9,.25882682,20.5,5.5,24.333334,1.1666666,4.8333335,4.3333335,19.5,5.1666665,.33333334,3,3.3333333,2.1666667,.66666669,.16666667,0,6.5,-4.1666665,2.4833333
병주,49,21,49,14,28,7,21,0,4,3,7,4,5,4,0,10,-5,10,6,291,88,19,.42857143,.5,.33333334,60,.5,24.6,.29577836,29.4,12.6,29.4,8.3999996,16.799999,4.1999998,12.6,0,2.4000001,1.8,4.1999998,2.4000001,3,2.4000001,0,6,-3,14.76
상백,12,6,46,6,43,0,3,0,4,15,19,9,7,3,0,12,-12,28,14,747,136,46,.13043478,.13953489,0,50,.13043478,-9.1999998,.10791134,2.5714285,1.2857143,9.8571424,1.2857143,9.2142859,0,.64285713,0,.85714287,3.2142856,4.0714288,1.9285715,1.5,.64285713,0,2.5714285,-2.5714285,-1.9714285
