"#","Name","G","MIN","PTS","FGM","FGA","FG%","2PM","2PA","2P%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","STL","DFL","BLK","TO","PF","TF","PM","CHG","A/T","EFF","eFG%","TSA","TS%","GmSc","2PM_P","2PM_M","3PM_P","3PM_M","PTS_P","PTS_M","OREB_P","OREB_M","DREB_P","DREB_M","REB_P","REB_M","AST_P","AST_M","STL_P","STL_M","DFL_P","DFL_M","BLK_P","BLK_M","TO_P","TO_M","FT_P","FT_M","G","PPG","APG","RPG","BPG","SPG"
0,"동길 ",1,20,19,9,20,0.450,8,17,0.471,1,3,0.333,"-","-","-",3,"-",3,1,3,2,"-",2,"-","-",3,"-",0.5,13.0,0.475,20.0,0.475,12.4,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,19.0,1.0,3.0,0.0,3.0
0,"토마스리 ",1,21,2,1,4,0.250,1,3,0.333,"-",1,0.000,"-","-","-","-",4,4,4,5,"-","-",3,"-","-",15,"-",1.3,9.0,0.250,4.0,0.250,5.6,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,4.0,4.0,0.0,5.0
0,"원유 ",1,21,2,1,9,0.111,1,8,0.125,"-",1,0.000,"-","-","-",3,12,15,1,"-","-","-",6,"-","-",-4,"-",0.2,4.0,0.111,9.0,0.111,-3.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,2.0,1.0,15.0,0.0,0.0
0,"민주 ",1,41,16,4,12,0.333,"-",1,0.000,4,11,0.364,4,4,1.000,"-",1,1,"-","-","-","-",2,"-","-",23,"-",0.0,7.0,0.500,13.8,0.581,7.5,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,16.0,0.0,1.0,0.0,0.0
0,"상수 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
0,"현호 ",1,20,4,2,5,0.400,2,5,0.400,"-","-","-","-","-","-",2,9,11,"-",4,"-",1,8,"-","-",3,"-",0.0,9.0,0.400,5.0,0.400,2.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,4.0,0.0,11.0,1.0,4.0
0,"덕용 ",1,21,3,1,9,0.111,"-","-","-",1,9,0.111,"-","-","-",1,6,7,5,"-","-","-",7,"-","-",-6,"-",0.7,0.0,0.167,9.0,0.167,-3.9,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,3.0,5.0,7.0,0.0,0.0
0,"동희 ",1,41,15,7,21,0.333,6,15,0.400,1,6,0.167,"-","-","-",5,8,13,4,4,1,"-",1,"-","-",23,"-",4.0,21.0,0.357,21.0,0.357,14.8,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,15.0,4.0,13.0,0.0,4.0
0,"동현 ",1,21,19,8,13,0.615,5,8,0.625,3,5,0.600,"-","-","-",2,5,7,2,"-",2,1,2,"-","-",-2,"-",1.0,22.0,0.731,13.0,0.731,16.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,19.0,2.0,7.0,1.0,0.0
0,"종우 ","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
," TEAM","-","-",0,0,0,"-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-","-","-","-","-","-","-","-",0.0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,"-","-","-","-","-"
,"TOTALS",1,80,80,33,93,0.355,23,57,0.404,10,36,0.278,4,4,1.000,16,45,61,17,16,5,2,31,"-","-",11,"-",0.5,85.0,0.409,94.8,0.422,51.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",1,80.0,17.0,61.0,2.0,16.0
